"Local de trabalho","Pontuação teste","Departmento","Distancia casa-trabalho","Educacao","Area","Possui carro","Subordinado","Satisfação com o ambiente no emprego atual","Horas voluntariado","Envolvimento com trabalho","Posicao","Cargo","Satisfação com emprego","Renda","Bonus de performance","Quantidade de empresas que trabalho","Maior de idade","Necessita de hora extra","Aumento de salario%","Performance na entrevista","Satisfação com a relação","Horas de trabalho padrão","Beneficios","Anos de experiencia","Horas de treinamento ultimo ano","Estilo de vida","Anos na última empresa","Anos na posição atual","Anos desde última promoção","Anos com a mesma gerência","ADDED_COLUMN_1","$R-Contratar","$RC-Contratar"
"Misto","444","Vendas","2","Superior incompleto","Marketing","1","1986","2","92","3","2","Vendedo senior","2","5677","4258","3","1","Não","14","3","3","80","1","15","4","3","11","8","5","10",,"Não","0.846284"
"Misto","309","RH","2","Superior completo","Ciências humanas","1","1987","3","82","3","1","Assistente","2","2187","19655","4","1","Não","14","3","3","80","0","6","3","3","2","0","1","2",,"Sim","0.953569"
"Misto","911","Engenharia","1","Superior incompleto","Medicina","1","1989","4","76","3","1","Tecnico","2","3748","4077","1","1","Não","13","3","3","80","0","12","6","2","12","8","1","7",,"Não","0.921638"
"Misto","977","Engenharia","2","Médio completo","Outros","1","1992","4","57","3","1","Tecnico","3","3977","7298","6","1","Sim","19","3","3","80","1","7","2","2","2","2","0","2",,"Sim","0.702599"
"Escritório","1180","Engenharia","25","Superior completo","Medicina","1","1993","1","84","3","3","Analista","3","8633","13084","2","1","Não","23","4","2","80","0","25","3","3","17","14","12","11",,"Não","0.777924"
"Misto","1313","Engenharia","1","Superior incompleto","Medicina","1","1994","2","59","2","1","Tecnico","3","2008","20439","1","1","Não","12","3","3","80","3","1","2","2","1","1","0","0",,"Não","0.915592"
"Misto","1321","Vendas","1","Superior incompleto - cursando","Ciências das natureza","1","1995","4","86","3","2","Vendedo senior","2","4440","7636","0","1","Não","15","3","1","80","2","16","3","3","15","13","5","8",,"Não","0.990071"
"Cliente","1154","Vendas","2","Superior incompleto","Ciências das natureza","1","1996","1","54","3","1","Vendedor junior","3","3067","6393","0","1","Não","19","3","3","80","1","3","1","3","2","2","1","2",,"Sim","0.86066"
"Misto","508","Engenharia","6","Superior incompleto - cursando","Ciências das natureza","1","1997","1","72","2","2","Supervisor","3","5321","14284","2","1","Não","11","3","4","80","1","10","1","3","8","3","7","7",,"Sim","0.805707"
"Misto","557","Engenharia","18","Superior incompleto - cursando","Ciências das natureza","1","1998","4","35","3","2","Engenheiro","1","5410","11189","6","1","Sim","17","3","3","80","1","9","3","2","4","3","1","2",,"Não","0.520078"
"Escritório","642","Engenharia","1","Superior completo","Ciências das natureza","1","1999","4","76","3","1","Engenheiro","4","2782","21412","3","1","Não","22","4","1","80","1","12","3","3","5","3","1","0",,"Não","0.991222"
"Misto","1162","Engenharia","1","Médio completo","Medicina","1","2000","3","98","3","3","Diretor","2","11957","17231","0","1","Não","18","3","1","80","2","14","3","1","13","8","5","12",,"Não","0.748259"
"Misto","1490","Engenharia","11","Superior incompleto - cursando","Medicina","1","2003","4","43","3","1","Tecnico","3","2660","20232","7","1","Sim","11","3","3","80","1","5","3","3","2","2","2","2",,"Sim","0.568653"
"Misto","581","Engenharia","1","Superior incompleto","Ciências das natureza","1","2007","4","63","3","1","Engenheiro","3","3375","17624","0","1","Não","12","3","4","80","0","4","2","4","3","2","1","2",,"Não","0.511797"
"Misto","1395","Engenharia","9","Superior incompleto - cursando","Medicina","1","2008","2","48","3","2","Engenheiro","3","5098","18698","1","1","Não","19","3","2","80","0","10","5","3","10","7","0","8",,"Não","0.991721"
"Misto","501","Engenharia","15","Superior incompleto","Medicina","1","2009","2","95","3","2","Analista","4","4878","21653","0","1","Sim","13","3","1","80","1","10","6","3","9","7","8","1",,"Não","0.770121"
"Misto","267","Engenharia","29","Superior incompleto - cursando","Ciências das natureza","1","2010","3","49","2","1","Tecnico","2","2837","15919","1","1","Não","13","3","3","80","0","6","3","3","6","2","4","1",,"Sim","0.943596"
"Misto","543","Engenharia","1","Superior incompleto - cursando","Ciências das natureza","1","2012","1","83","3","1","Tecnico","4","2406","4060","8","1","Não","19","3","3","80","2","8","3","2","1","0","0","0",,"Sim","0.70734"
"Misto","234","Vendas","1","Superior incompleto - cursando","Medicina","1","2013","2","68","2","1","Vendedor junior","2","2269","18024","0","1","Não","14","3","2","80","1","3","2","3","2","2","2","2",,"Sim","0.625967"
"Misto","116","Engenharia","24","Médio completo","Ciências das natureza","1","2014","1","52","3","2","Engenheiro","4","4108","5340","7","1","Não","13","3","1","80","0","18","2","3","7","7","1","7",,"Não","0.644181"
"Misto","201","Engenharia","10","Superior completo","Medicina","1","2015","2","99","1","3","Diretor","3","13206","3376","3","1","Não","12","3","1","80","1","20","3","3","18","16","1","11",,"Não","0.99021"
"Misto","801","Vendas","1","Superior incompleto - cursando","Marketing","1","2016","3","48","3","3","Vendedo senior","4","10422","24032","1","1","Não","19","3","3","80","2","14","3","3","14","10","5","7",,"Não","0.985"
"Misto","161","Engenharia","10","Superior completo","Ciências das natureza","1","2017","3","42","4","3","Diretor","4","13744","15471","1","1","Sim","25","4","1","80","1","16","2","3","16","11","6","8",,"Não","0.981733"
"Escritório","1382","Vendas","8","Superior incompleto","Outros","1","2018","1","85","3","2","Vendedo senior","3","4907","13684","0","1","Sim","22","4","2","80","1","6","3","2","5","3","0","4",,"Não","0.869601"
"Misto","585","Vendas","29","Superior incompleto - cursando","Ciências das natureza","1","2019","1","40","3","1","Vendedor junior","4","3482","19788","2","1","Não","15","3","2","80","2","16","3","2","9","8","0","0",,"Não","0.852939"
"Misto","1037","Engenharia","1","Superior completo","Medicina","1","2020","2","42","3","1","Engenheiro","4","2436","13422","6","1","Sim","12","3","3","80","0","6","2","3","4","3","1","2",,"Sim","0.531113"
"Escritório","501","Vendas","5","Médio completo","Medicina","1","2021","3","58","3","1","Vendedor junior","1","2380","25479","1","1","Sim","11","3","4","80","0","2","6","3","2","2","1","2",,"Sim","0.851666"
"Misto","105","Engenharia","9","Superior completo","Ciências das natureza","1","2022","4","87","3","5","Gerente","4","19431","15302","2","1","Não","13","3","3","80","0","21","3","2","6","0","1","3",,"Não","0.94336"
"Cliente","557","Vendas","3","Superior completo","Medicina","1","2024","1","94","2","3","Vendedo senior","4","7644","12695","0","1","Não","19","3","3","80","2","10","2","3","9","7","3","4",,"Não","0.993645"
"Escritório","688","Engenharia","4","Superior incompleto","Ciências das natureza","1","2025","4","97","3","2","Supervisor","2","5131","9192","7","1","Não","13","3","2","80","3","18","3","3","4","2","0","2",,"Não","0.922501"
"Misto","667","Engenharia","1","Superior incompleto - cursando","Ciências das natureza","1","2026","3","57","3","2","Analista","3","6306","26236","1","1","Não","21","4","1","80","1","13","2","2","13","12","1","9",,"Não","0.997181"
"Misto","300","Engenharia","2","Superior completo","Ciências das natureza","1","2031","1","56","3","5","Gerente","3","18880","17312","5","1","Não","11","3","1","80","0","24","2","2","22","6","4","14",,"Não","0.66497"
"Misto","582","Engenharia","28","Superior incompleto - cursando","Ciências das natureza","1","2034","1","60","2","4","Supervisor","2","13570","5640","0","1","Não","23","4","3","80","1","21","3","3","20","7","0","10",,"Não","0.971985"
"Escritório","704","Vendas","28","Superior completo","Marketing","1","2035","4","95","2","2","Vendedo senior","3","6712","8978","1","1","Não","21","4","4","80","2","8","2","3","8","7","1","7",,"Não","0.931853"
"Misto","301","Vendas","15","Superior incompleto - cursando","Marketing","1","2036","4","88","1","2","Vendedo senior","4","5406","10436","1","1","Não","24","4","1","80","1","15","4","2","15","12","11","11",,"Não","0.843815"
"Misto","930","Vendas","3","Superior completo","Ciências das natureza","1","2037","3","57","2","2","Vendedo senior","2","8938","12227","2","1","Não","11","3","3","80","1","14","5","3","5","4","0","4",,"Não","0.995098"
"Misto","529","Engenharia","2","Superior completo","Faculdade Técnica","1","2038","4","78","3","1","Engenheiro","1","2439","11288","1","1","Não","14","3","4","80","0","4","4","3","4","2","1","2",,"Sim","0.582513"
"Misto","1146","RH","26","Superior incompleto - cursando","Ciências das natureza","1","2040","3","31","3","3","Assistente","4","8837","16642","1","1","Sim","16","3","3","80","0","9","2","3","9","0","1","7",,"Não","0.746567"
"Misto","345","Vendas","10","Superior incompleto","Ciências das natureza","1","2041","1","100","3","2","Vendedo senior","4","5343","5982","1","1","Não","11","3","3","80","1","10","1","3","10","7","1","9",,"Não","0.635748"
"Misto","1120","Vendas","11","Superior incompleto - cursando","Marketing","1","2045","2","100","2","2","Vendedo senior","4","6652","14369","4","1","Não","13","3","1","80","1","8","2","2","6","3","0","0",,"Sim","0.895029"
"Misto","374","Vendas","20","Superior completo","Ciências das natureza","1","2046","4","50","3","2","Vendedo senior","3","4850","23333","8","1","Não","15","3","3","80","0","8","3","3","5","3","0","1",,"Não","0.818885"
"Cliente","1322","Engenharia","2","Superior incompleto - cursando","Ciências das natureza","1","2048","3","52","2","1","Engenheiro","3","2809","2725","2","1","Não","14","3","4","80","0","8","2","3","2","2","2","2",,"Não","0.906246"
"Misto","1199","Engenharia","18","Superior incompleto - cursando","Ciências das natureza","1","2049","3","80","3","2","Analista","3","5689","24594","1","1","Sim","14","3","4","80","2","10","2","4","10","2","0","2",,"Não","0.984"
"Misto","1194","Engenharia","2","Superior incompleto - cursando","Medicina","1","2051","3","98","3","1","Engenheiro","3","2001","12549","2","1","Não","14","3","2","80","3","20","2","3","5","3","0","2",,"Não","0.99707"
"Misto","287","Engenharia","1","Superior incompleto - cursando","Ciências das natureza","1","2052","3","62","1","1","Engenheiro","4","2977","8952","1","1","Não","12","3","4","80","1","4","5","3","4","3","1","1",,"Não","0.976888"
"Misto","1378","Engenharia","13","Superior incompleto","Outros","1","2053","4","46","2","2","Tecnico","2","4025","23679","4","1","Sim","13","3","1","80","1","10","2","3","4","3","0","3",,"Sim","0.87548"
"Misto","468","Engenharia","28","Superior incompleto - cursando","Medicina","1","2054","4","73","2","1","Engenheiro","1","3785","8489","1","1","Não","14","3","2","80","0","5","3","1","5","4","0","4",,"Sim","0.734633"
"Escritório","722","Vendas","24","Médio completo","Marketing","1","2056","2","60","2","4","Vendedo senior","4","12031","8828","0","1","Não","11","3","1","80","1","21","2","2","20","9","9","6",,"Não","0.838144"
"Misto","325","Engenharia","5","Superior completo","Medicina","1","2057","2","74","3","2","Supervisor","1","9936","3787","0","1","Não","19","3","2","80","0","10","2","3","9","4","1","7",,"Sim","0.837885"
"Cliente","1167","Vendas","5","Superior completo","Outros","1","2060","4","30","2","1","Vendedor junior","3","2966","21378","0","1","Não","18","3","4","80","0","5","2","3","4","2","0","0",,"Não","0.836712"
"Misto","884","Engenharia","23","Superior incompleto","Medicina","1","2061","3","41","4","2","Tecnico","4","2571","12290","4","1","Não","17","3","3","80","1","17","3","3","5","2","0","3",,"Não","0.98537"
"Misto","613","Engenharia","6","Médio completo","Medicina","1","2062","4","42","2","3","Analista","1","9991","21457","4","1","Não","15","3","1","80","1","9","5","3","7","7","1","7",,"Não","0.990762"
"Cliente","155","Engenharia","4","Superior completo","Ciências das natureza","1","2064","2","87","4","2","Supervisor","2","6142","5174","1","1","Sim","20","4","2","80","1","6","0","3","6","2","0","3",,"Sim","0.833584"
"Misto","1023","Vendas","2","Superior completo","Medicina","1","2065","4","63","2","2","Vendedo senior","2","5390","13243","2","1","Não","14","3","4","80","0","17","3","2","9","6","0","8",,"Não","0.988442"
,"628","Engenharia","8","Superior completo","Medicina","1","2068","2","82","4","2","Tecnico","3","4404","10228","2","1","Não","12","3","1","80","0","6","3","4","4","3","1","2",,"Não","0.624592"
"Misto","1102","Vendas","1","Superior incompleto","Ciências das natureza","1","1","2","94","3","2","Vendedo senior","4","5993","19479","8","1","Sim","11","3","1","80","0","8","0","1","6","4","0","5",,"Sim","0.683158"
"Misto","1373","Engenharia","2","Superior incompleto","Outros","1","4","4","92","2","1","Tecnico","3","2090","2396","6","1","Sim","15","3","2","80","0","7","3","3","0","0","0","0",,"Sim","0.782484"
"Misto","103","Engenharia","24","Superior completo","Ciências das natureza","1","19","3","50","2","1","Tecnico","3","2028","12947","5","1","Sim","14","3","2","80","0","6","4","3","4","2","0","3",,"Sim","0.81493"
"Misto","1218","Vendas","9","Superior incompleto - cursando","Ciências das natureza","1","27","3","82","2","1","Vendedor junior","1","3407","6986","7","1","Não","23","4","2","80","0","10","4","3","5","3","0","3",,"Não","0.866958"
"Cliente","699","Engenharia","6","Médio completo","Medicina","1","31","2","83","3","1","Engenheiro","1","2960","17102","2","1","Não","11","3","3","80","0","8","2","3","4","2","1","3",,"Não","0.602243"
"Misto","1125","Engenharia","16","Médio completo","Ciências das natureza","1","33","2","72","1","1","Engenheiro","1","3919","4681","1","1","Sim","22","4","2","80","0","10","5","3","10","2","6","7",,"Sim","0.828454"
"Misto","895","Vendas","5","Superior completo","Faculdade Técnica","1","42","4","56","3","2","Vendedor junior","4","2086","3335","3","1","Não","14","3","3","80","1","19","6","4","1","0","0","0",,"Não","0.997983"
"Misto","813","Engenharia","1","Superior completo","Medicina","1","45","2","61","3","1","Engenheiro","4","2293","3020","2","1","Sim","16","3","1","80","1","6","2","2","2","0","2","0",,"Sim","0.762231"
"Misto","869","Vendas","3","Superior incompleto","Marketing","1","47","1","86","2","1","Vendedor junior","3","2683","3810","1","1","Sim","14","3","3","80","0","3","2","3","3","2","0","2",,"Sim","0.998106"
"Misto","1357","Engenharia","25","Superior completo","Ciências das natureza","1","55","1","48","1","1","Tecnico","3","2293","10558","1","1","Não","12","3","3","80","0","1","2","2","1","0","0","1",,"Sim","0.803961"
"Misto","1360","Engenharia","12","Superior completo","Faculdade Técnica","1","58","2","49","3","5","Diretor","3","19545","16280","1","1","Não","12","3","4","80","0","23","0","3","22","15","15","8",,"Não","0.858176"
"Misto","626","Engenharia","1","Superior incompleto","Ciências das natureza","1","64","1","98","2","3","Tecnico","3","5381","19294","9","1","Sim","13","3","4","80","0","23","2","3","1","0","0","0",,"Sim","0.73349"
"Misto","1434","Engenharia","5","Superior incompleto - cursando","Faculdade Técnica","1","65","3","50","3","1","Tecnico","3","3441","11179","1","1","Sim","13","3","3","80","0","2","3","2","2","2","2","2",,"Sim","0.894619"
"Misto","318","Engenharia","9","Superior completo","Medicina","1","90","4","79","2","1","Engenheiro","3","3388","21777","0","1","Sim","17","3","1","80","1","2","0","2","1","0","0","0",,"Sim","0.960662"
"Misto","669","Vendas","9","Superior incompleto","Medicina","1","118","3","64","2","3","Vendedo senior","4","9619","13596","1","1","Não","16","3","4","80","0","9","3","3","9","8","4","7",,"Não","0.993006"
"Cliente","807","RH","6","Superior incompleto - cursando","Ciências humanas","1","133","3","63","3","1","Assistente","1","2073","23648","4","1","Sim","22","4","4","80","0","7","3","3","3","2","0","2",,"Não","0.660999"
"Misto","871","Engenharia","6","Superior completo","Ciências das natureza","1","137","4","66","2","1","Tecnico","4","2926","19783","1","1","Sim","18","3","2","80","0","1","5","3","1","0","1","0",,"Não","0.94933"
"Cliente","240","Vendas","5","Superior completo","Marketing","1","142","3","46","2","2","Vendedo senior","3","5744","26959","1","1","Sim","11","3","4","80","0","6","1","3","6","4","0","3",,"Sim","0.883309"
"Misto","658","Engenharia","7","Superior completo","Ciências das natureza","1","147","1","66","1","2","Tecnico","3","6074","22887","1","1","Sim","24","4","4","80","0","9","3","3","9","7","0","6",,"Não","0.971568"
"Misto","441","Engenharia","14","Superior incompleto - cursando","Ciências das natureza","1","161","2","72","3","1","Engenheiro","2","4963","4510","9","1","Sim","18","3","1","80","3","7","2","3","5","4","4","3",,"Sim","0.939062"
"Misto","249","Vendas","6","Superior incompleto - cursando","Ciências das natureza","1","163","2","76","1","2","Vendedo senior","3","6172","20739","4","1","Sim","18","3","2","80","0","12","3","2","7","7","7","7",,"Sim","0.880251"
"Misto","147","Engenharia","23","Superior incompleto - cursando","Medicina","1","165","4","94","3","3","Analista","4","10312","3465","1","1","Não","12","3","4","80","1","40","3","2","40","10","15","6",,"Não","0.962282"
"Misto","528","Vendas","22","Médio completo","Marketing","1","167","4","50","3","1","Vendedor junior","3","1675","26820","1","1","Sim","19","3","4","80","0","0","2","2","0","0","0","0",,"Sim","0.891063"
"Cliente","542","Vendas","20","Superior completo","Ciências das natureza","1","175","2","71","1","2","Vendedo senior","3","4559","24788","3","1","Sim","11","3","3","80","1","4","2","3","2","2","2","2",,"Sim","0.932654"
"Misto","1150","Engenharia","8","Superior incompleto - cursando","Ciências das natureza","1","179","1","53","1","3","Supervisor","4","10650","25150","2","1","Não","15","3","4","80","0","18","2","3","4","2","0","3",,"Não","0.98315"
"Cliente","1033","Engenharia","9","Superior completo","Medicina","1","190","1","41","3","1","Tecnico","1","4200","10224","7","1","Não","22","4","1","80","0","10","2","4","5","4","0","4",,"Não","0.748087"
"Misto","602","Vendas","1","Médio completo","Faculdade Técnica","1","235","3","100","1","1","Vendedor junior","1","2325","20989","0","1","Não","21","4","1","80","0","1","5","4","0","0","0","0",,"Sim","0.85214"
"Misto","303","Engenharia","2","Superior completo","Ciências das natureza","1","243","2","47","2","1","Tecnico","4","1102","9241","1","1","Não","22","4","3","80","0","1","3","2","1","0","1","0",,"Não","0.992897"
"Misto","1356","Vendas","20","Superior incompleto","Marketing","1","248","2","70","3","1","Vendedor junior","2","3140","21728","1","1","Sim","22","4","4","80","0","4","5","2","4","3","0","2",,"Não","0.788672"
"Misto","556","Engenharia","23","Superior incompleto","Ciências das natureza","1","261","2","50","2","2","Supervisor","3","5916","15497","3","1","Sim","13","3","1","80","0","8","1","3","1","0","0","1",,"Sim","0.99604"
"Misto","1180","Engenharia","29","Médio completo","Medicina","1","282","2","70","3","2","Analista","1","6673","11354","7","1","Sim","19","3","2","80","0","17","2","3","1","0","0","0",,"Sim","0.97553"
"Misto","121","Vendas","27","Superior completo","Marketing","1","283","2","35","3","3","Vendedo senior","4","7639","24525","1","1","Não","22","4","4","80","3","10","3","2","10","4","1","9",,"Não","0.990785"
"Misto","1045","Vendas","4","Superior incompleto - cursando","Medicina","1","291","4","32","1","3","Vendedo senior","4","10400","25812","1","1","Não","11","3","3","80","0","14","2","2","14","8","9","8",,"Não","0.994178"
"Cliente","1005","Engenharia","3","Superior completo","Faculdade Técnica","1","297","4","88","3","1","Engenheiro","1","2657","8556","5","1","Sim","11","3","3","80","0","8","5","3","5","2","0","4",,"Não","0.77245"
"Misto","334","Vendas","26","Superior incompleto - cursando","Marketing","1","299","3","52","2","2","Vendedo senior","1","6696","22967","5","1","Não","15","3","3","80","0","9","5","2","6","3","0","1",,"Sim","0.610669"
"Misto","992","Engenharia","1","Superior completo","Faculdade Técnica","1","300","3","85","3","1","Engenheiro","3","2058","19757","0","1","Não","14","3","4","80","0","7","1","2","6","2","1","5",,"Não","0.814781"
"Misto","896","Engenharia","18","Médio completo","Medicina","1","315","3","86","2","1","Engenheiro","4","2389","14961","1","1","Sim","13","3","3","80","0","4","3","2","4","3","0","1",,"Não","0.564739"
"Misto","813","Engenharia","14","Superior completo","Medicina","1","325","3","58","3","1","Tecnico","4","2436","22149","5","1","Sim","13","3","3","80","1","8","2","1","5","4","0","4",,"Não","0.959244"
"Misto","465","Engenharia","2","Superior incompleto","Ciências das natureza","1","328","1","39","3","1","Tecnico","1","2707","21509","7","1","Não","20","4","1","80","0","13","3","4","9","7","1","7",,"Não","0.640937"
"Cliente","515","Engenharia","1","Superior completo","Ciências das natureza","1","331","4","62","2","1","Tecnico","3","3730","9571","0","1","Sim","14","3","4","80","0","4","2","1","3","2","1","2",,"Sim","0.629407"
"Cliente","504","Engenharia","10","Superior completo","Medicina","1","342","1","61","3","3","Supervisor","3","10048","22573","6","1","Não","11","3","2","80","2","17","5","3","1","0","0","0",,"Não","0.946345"
"Misto","307","Engenharia","29","Superior incompleto","Medicina","1","355","3","71","2","1","Tecnico","2","3479","11652","0","1","Não","11","3","2","80","0","6","2","4","5","4","1","4",,"Sim","0.593192"
"Escritório","529","Engenharia","2","Superior incompleto - cursando","Ciências das natureza","1","364","1","79","3","1","Tecnico","3","3485","14935","2","1","Não","11","3","3","80","0","5","5","1","0","0","0","0",,"Não","0.695144"
"Cliente","666","Engenharia","29","Superior incompleto - cursando","Ciências das natureza","1","376","1","88","3","3","Gerente","2","11849","10268","1","1","Sim","12","3","4","80","1","10","2","2","10","7","9","9",,"Sim","0.683818"
"Misto","920","Engenharia","24","Superior completo","Ciências das natureza","1","392","4","43","3","1","Tecnico","3","3161","19920","3","1","Sim","22","4","4","80","1","19","0","1","1","0","0","0",,"Não","0.966079"
